author_full,journal,volume,year,pages,publisher,paperid,doi,author,url,type,title,journal_full,issue,page
"Mitja Krnel, Primož Koželj, Stanislav Vrtnik, Andreja Jelen, Magdalena Wencka, Peter Gille, Janez Dolinšek,",Z. Anorg. Allg. Chem.,646,2020,1099-1104,Wiley,28611,10.1002/zaac.202000035,"M. Krnel, P. Koželj, S. Vrtnik, A. Jelen, M. Wencka, P. Gille, J. Dolinšek,",http://dx.doi.org/10.1002/zaac.202000035,article-journal,"Anisotropic Electrical, Magnetic, and Thermal Properties of In3
Ni2
 Intermetallic Catalyst",Zeitschrift für anorganische und allgemeine Chemie,14,1099
"Jingjie Zhang, Xufan Li, Kai Xiao, Bobby G Sumpter, Avik W Ghosh, Liangbo Liang,",J. Phys.: Condens. Matter,32,2019,,IOP Publishing,28646,10.1088/1361-648x/ab4aaa,"J. Zhang, X. Li, K. Xiao, B. Sumpter, A. Ghosh, L. Liang,",http://dx.doi.org/10.1088/1361-648X/ab4aaa,article-journal,The role of mid-gap phonon modes in thermal transport of transition metal dichalcogenides,Journal of Physics: Condensed Matter,2,025306
"Yixuan Wu, Pengfei Nan, Zhiwei Chen, Zezhu Zeng, Siqi Lin, Xinyue Zhang, Hongliang Dong, Zhiqiang Chen, Hongkai Gu, Wen Li, Yue Chen, Binghui Ge, Yanzhong Pei,",Research,2020,2020,1-12,American Association for the Advancement of Science (AAAS),28665,10.34133/2020/8151059,"Y. Wu, P. Nan, Z. Chen, Z. Zeng, S. Lin, X. Zhang, H. Dong, Z. Chen, H. Gu, W. Li, Y. Chen, B. Ge, Y. Pei,",http://dx.doi.org/10.34133/2020/8151059,article-journal,Manipulation of Band Degeneracy and Lattice Strain for Extraordinary PbTe Thermoelectrics,Research,,1
"J. Hasegawa, R. Tamura, S. Takeuchi, K. Tokiwa, T. Watanabe,",Journal of Non-Crystalline Solids,334,2004,368-371,Elsevier BV,28696,10.1016/j.jnoncrysol.2003.12.004,"J. Hasegawa, R. Tamura, S. Takeuchi, K. Tokiwa, T. Watanabe,",http://dx.doi.org/10.1016/j.jnoncrysol.2003.12.004,article-journal,Electronic transport of the icosahedral Zn–Mg–Sc quasicrystal and its 2/1 and 1/1 cubic approximants,Journal of Non-Crystalline Solids,,368
"Tsunehiro Takeuchi, Uichiro Mizutani,",Journal of Alloys and Compounds,342,2002,416-421,Elsevier BV,28699,10.1016/s0925-8388(02)00268-2,"T. Takeuchi, U. Mizutani,",http://dx.doi.org/10.1016/S0925-8388(02)00268-2,article-journal,"Interpretation of high electrical resistivity behavior based on the structure determination of the Al–Cu–(Fe,Ru)–Si 1/1-cubic approximants",Journal of Alloys and Compounds,1,416
"Ryuji Tamura, Yohsuke Murao, Shin Takeuchi, Masaki Ichihara, Masahiko Isobe, Yutaka Ueda,",Jpn. J. Appl. Phys.,41,2002,L524-L526,IOP Publishing,28702,10.1143/jjap.41.l524,"R. Tamura, Y. Murao, S. Takeuchi, M. Ichihara, M. Isobe, Y. Ueda,",http://dx.doi.org/10.1143/JJAP.41.L524,article-journal,A Low-Temperature Order-Disorder Transition in a Cubic Cd6Yb Crystalline Approximant,Japanese Journal of Applied Physics,,L524
"Ryuji Tamura, Yohsuke Murao, Shin Takeuchi, Kazuyasu Tokiwa, Tsuneo Watanabe, Taku J. Sato, Ang Pan Tsai,",Jpn. J. Appl. Phys.,40,2001,L912-L914,IOP Publishing,28703,10.1143/jjap.40.l912,"R. Tamura, Y. Murao, S. Takeuchi, K. Tokiwa, T. Watanabe, T. Sato, A. Tsai,",http://dx.doi.org/10.1143/JJAP.40.L912,article-journal,Anomalous Transport Behavior of a Binary Cd-Yb Icosahedral Quasicrystal,Japanese Journal of Applied Physics,,L912
"U Mizutani, T Matsuda, Y Itoh, K Tanaka, H Domae, T Mizuno, S Murasaki, Y Miyoshi, K Hashimoto, Y Yamada,",Journal of Non-Crystalline Solids,156,1993,882-886,Elsevier BV,28706,10.1016/0022-3093(93)90088-f,"U. Mizutani, T. Matsuda, Y. Itoh, K. Tanaka, H. Domae, T. Mizuno, S. Murasaki, Y. Miyoshi, K. Hashimoto, Y. Yamada,",http://dx.doi.org/10.1016/0022-3093(93)90088-F,article-journal,Electronic structure and electron transport properties of quasicrystals and approximant crystals in AlTM and MgGaAlZn alloy systems,Journal of Non-Crystalline Solids,,882
"S. Takeuchi, H. Akiyama, N. Naito, T. Shibuya, T. Hashimoto, K. Edagawa, K. Kimura,",Journal of Non-Crystalline Solids,153,1993,353-356,Elsevier BV,28707,10.1016/0022-3093(93)90372-5,"S. Takeuchi, H. Akiyama, N. Naito, T. Shibuya, T. Hashimoto, K. Edagawa, K. Kimura,",http://dx.doi.org/10.1016/0022-3093(93)90372-5,article-journal,Electrical resistivity of single-grained quasicrystals,Journal of Non-Crystalline Solids,,353
"Hirofumi Akiyama, Yuko Honda, Tatsuo Hashimoto, Keiichi Edagawa, Shin Takeuchi,",Jpn. J. Appl. Phys.,32,1993,L1003-L1004,IOP Publishing,28708,10.1143/jjap.32.l1003,"H. Akiyama, Y. Honda, T. Hashimoto, K. Edagawa, S. Takeuchi,",http://dx.doi.org/10.1143/JJAP.32.L1003,article-journal,Toward Insulating Quasicrystalline Alloy in Al-Pd-Re Icosahedral Phase,Japanese Journal of Applied Physics,,L1003
"Sining Wang, Lizhong Su, Yuting Qiu, Yu Xiao, Li-Dong Zhao,",Journal of Materials Science & Technology,70,2021,67-72,Elsevier BV,28709,10.1016/j.jmst.2020.09.005,"S. Wang, L. Su, Y. Qiu, Y. Xiao, L. Zhao,",http://dx.doi.org/10.1016/j.jmst.2020.09.005,article-journal,Enhanced thermoelectric performance in Cl-doped BiSbSe3 with optimal carrier concentration and effective mass,Journal of Materials Science & Technology,,67
"R. Abinaya, J. Archana, S. Harish, M. Navaneethan, C. Muthamizhchelvan, S. Ponnusamy, H. Udono, R. Sugahara, Y. Hayakawa, M. Shimomura,",Journal of Colloid and Interface Science,584,2021,295-309,Elsevier BV,28722,10.1016/j.jcis.2020.09.061,"R. Abinaya, J. Archana, S. Harish, M. Navaneethan, C. Muthamizhchelvan, S. Ponnusamy, H. Udono, R. Sugahara, Y. Hayakawa, M. Shimomura,",http://dx.doi.org/10.1016/j.jcis.2020.09.061,article-journal,Interface driven energy-filtering and phonon scattering of polyaniline incorporated ultrathin layered molybdenum disulphide nanosheets for promising thermoelectric performance,Journal of Colloid and Interface Science,,295
"A.K. Fedotov, A.V. Pashkevich, J.A. Fedotova, A.S. Fedotov, T.N. Kołtunowicz, P. Zukowski, Ali Arash Ronassi, V.V. Fedotova, I.A. Svito, M. Budzyński,",Journal of Alloys and Compounds,854,2021,,Elsevier BV,28724,10.1016/j.jallcom.2020.156169,"A. Fedotov, A. Pashkevich, J. Fedotova, A. Fedotov, T. Kołtunowicz, P. Zukowski, A. Ronassi, V. Fedotova, I. Svito, M. Budzyński,",http://dx.doi.org/10.1016/j.jallcom.2020.156169,article-journal,Electron transport and thermoelectric properties of ZnO ceramics doped with Fe,Journal of Alloys and Compounds,,156169
"Gerda Rogl, Sanyukta Ghosh, Oliver Renk, Kunio Yubuta, Andriy Grytsiv, Erhard Schafler, Michael Zehetbauer, Ramesh C. Mallik, Ernst Bauer, Peter Rogl,",Journal of Alloys and Compounds,854,2021,,Elsevier BV,28726,10.1016/j.jallcom.2020.156678,"G. Rogl, S. Ghosh, O. Renk, K. Yubuta, A. Grytsiv, E. Schafler, M. Zehetbauer, R. Mallik, E. Bauer, P. Rogl,",http://dx.doi.org/10.1016/j.jallcom.2020.156678,article-journal,HPT production of large bulk skutterudites,Journal of Alloys and Compounds,,156678
"P. Shyni, P.P. Pradyumnan, P. Rajasekar, Aswathy M. Narayanan, Arun M. Umarji,",Journal of Alloys and Compounds,853,2021,,Elsevier BV,28730,10.1016/j.jallcom.2020.156872,"P. Shyni, P. Pradyumnan, P. Rajasekar, A. Narayanan, A. Umarji,",http://dx.doi.org/10.1016/j.jallcom.2020.156872,article-journal,Graphitic carbon nitride-bismuth antimony telluride nanocomposites: A potential material for thermoelectric applications,Journal of Alloys and Compounds,,156872
"Ashutosh Kumar, D. Sivaprahasam, Ajay D. Thakur,",Journal of Alloys and Compounds,853,2021,,Elsevier BV,28734,10.1016/j.jallcom.2020.157001,"A. Kumar, D. Sivaprahasam, A. Thakur,",http://dx.doi.org/10.1016/j.jallcom.2020.157001,article-journal,Colossal seebeck coefficient in Aurivillius phase-perovskite oxide composite,Journal of Alloys and Compounds,,157001
"Chanwon Jung, Biswanath Dutta, Poulumi Dey, Seong-jae Jeon, Seungwoo Han, Hyun-Mo Lee, Jin-Seong Park, Seong-Hoon Yi, Pyuck-Pa Choi,",Nano Energy,80,2021,,Elsevier BV,28740,10.1016/j.nanoen.2020.105518,"C. Jung, B. Dutta, P. Dey, S. Jeon, S. Han, H. Lee, J. Park, S. Yi, P. Choi,",http://dx.doi.org/10.1016/j.nanoen.2020.105518,article-journal,Tailoring nanostructured NbCoSn-based thermoelectric materials via crystallization of an amorphous precursor,Nano Energy,,105518
"Esmaeil Pakizeh, Mahnaz Mohammadi,",Journal of Physics and Chemistry of Solids,149,2021,,Elsevier BV,28744,10.1016/j.jpcs.2020.109802,"E. Pakizeh, M. Mohammadi,",http://dx.doi.org/10.1016/j.jpcs.2020.109802,article-journal,"Structural, electronic, magnetic and thermoelectric properties of pseudobrookite-type Fe2-xTi1+xO5 (x = 0, 0.5 and 1) compounds: DFT + U approaches",Journal of Physics and Chemistry of Solids,,109802
"Bushra Jabar, Xiaoying Qin, Adil Mansoor, Hongwei Ming, Lulu Huang, Mazhar Hussain Danish, Jian Zhang, Di Li, Chen Zhu, Hongxing Xin, Chunjun Song,",Nano Energy,80,2021,,Elsevier BV,28748,10.1016/j.nanoen.2020.105512,"B. Jabar, X. Qin, A. Mansoor, H. Ming, L. Huang, M. Danish, J. Zhang, D. Li, C. Zhu, H. Xin, C. Song,",http://dx.doi.org/10.1016/j.nanoen.2020.105512,article-journal,Enhanced power factor and thermoelectric performance for n-type Bi2Te2.7Se0.3 based composites incorporated with 3D topological insulator nanoinclusions,Nano Energy,,105512
"Rehan Ullah, Malak Azmat Ali, Afzal Khan, G. Murtaza, Asif Mahmood, Shahid M. Ramay,",Materials Research Bulletin,134,2021,,Elsevier BV,28756,10.1016/j.materresbull.2020.111112,"R. Ullah, M. Ali, A. Khan, G. Murtaza, A. Mahmood, S. Ramay,",http://dx.doi.org/10.1016/j.materresbull.2020.111112,article-journal,"Influence of the spin-orbit coupling effect on the electronic and thermoelectric properties of Cs2MI6 (M = Zr, Hf) variant perovskites",Materials Research Bulletin,,111112
"Rehan Ullah, Malak Azmat Ali, G. Murtaza, Asif Mahmood, Shahid M. Ramay,",Materials Science in Semiconductor Processing,122,2021,,Elsevier BV,28757,10.1016/j.mssp.2020.105487,"R. Ullah, M. Ali, G. Murtaza, A. Mahmood, S. Ramay,",http://dx.doi.org/10.1016/j.mssp.2020.105487,article-journal,"An investigation of structural, elastic, mechanical, electronic, magnetic and thermoelectric properties of ferromagnetic half metallic EuCrO3",Materials Science in Semiconductor Processing,,105487
"Abhiyan Pandit, Bothina Hamad,",Applied Surface Science,538,2021,,Elsevier BV,28760,10.1016/j.apsusc.2020.147911,"A. Pandit, B. Hamad,",http://dx.doi.org/10.1016/j.apsusc.2020.147911,article-journal,"Thermoelectric and lattice dynamics properties of layered MX (M = Sn, Pb; X  = S, Te) compounds",Applied Surface Science,,147911
"Shi-Wei Gu, Peng Qin, Yi-Xin Zhang, Jun Guo, Quan Shan, Jing Feng, Zhen-Hua Ge,",Journal of Alloys and Compounds,852,2021,,Elsevier BV,28774,10.1016/j.jallcom.2020.156972,"S. Gu, P. Qin, Y. Zhang, J. Guo, Q. Shan, J. Feng, Z. Ge,",http://dx.doi.org/10.1016/j.jallcom.2020.156972,article-journal,Synergistic modulation of electrical and thermal properties of Cu1.8S bulk materials via nanostructuring and band engineering,Journal of Alloys and Compounds,,156972
"Thi Huong Nguyen, Van Quang Nguyen, Anh Tuan Pham, Jong Ho Park, Ji Eun Lee, Jae Ki Lee, Sudong Park, Sunglae Cho,",Journal of Alloys and Compounds,852,2021,,Elsevier BV,28778,10.1016/j.jallcom.2020.157094,"T. Nguyen, V. Nguyen, A. Pham, J. Park, J. Lee, J. Lee, S. Park, S. Cho,",http://dx.doi.org/10.1016/j.jallcom.2020.157094,article-journal,Carrier control in CuAgSe by growth process or doping,Journal of Alloys and Compounds,,157094
"Kan Chen, Chris Nuttall, Eleni Stefanaki, Katarzyna Placha, Richard Tuley, Kevin Simpson, Jan-Willem G. Bos, Michael J. Reece,",Scripta Materialia,191,2021,71-75,Elsevier BV,28782,10.1016/j.scriptamat.2020.09.010,"K. Chen, C. Nuttall, E. Stefanaki, K. Placha, R. Tuley, K. Simpson, J. Bos, M. Reece,",http://dx.doi.org/10.1016/j.scriptamat.2020.09.010,article-journal,Fast synthesis of n-type half-heusler TiNiSn thermoelectric material,Scripta Materialia,,71
"Minsu Kim, Dabin Park, Jooheon Kim,",Journal of Alloys and Compounds,851,2021,,Elsevier BV,28784,10.1016/j.jallcom.2020.156905,"M. Kim, D. Park, J. Kim,",http://dx.doi.org/10.1016/j.jallcom.2020.156905,article-journal,Enhancement of Bi2O2Se thermoelectric power factor via Nb doping,Journal of Alloys and Compounds,,156905
"Tu Lyu, Quanxin Yang, Fanchen Meng, Jian He, Allen Benton, Charles Chronister, Zhenming Li, Guiying Xu,",Chemical Engineering Journal,404,2021,,Elsevier BV,28788,10.1016/j.cej.2020.126925,"T. Lyu, Q. Yang, F. Meng, J. He, A. Benton, C. Chronister, Z. Li, G. Xu,",http://dx.doi.org/10.1016/j.cej.2020.126925,article-journal,Enhancing thermoelectric performance of Sn1-Sb2/3Te via synergistic charge balanced compensation doping,Chemical Engineering Journal,,126925
"Ashish Kumar, K.M. Chaturvedi, Sahiba Bano, Bal Govind, D.K. Misra,",Materials Chemistry and Physics,258,2021,,Elsevier BV,28790,10.1016/j.matchemphys.2020.123915,"A. Kumar, K. Chaturvedi, S. Bano, B. Govind, D. Misra,",http://dx.doi.org/10.1016/j.matchemphys.2020.123915,article-journal,Enhanced thermoelectric performance of p-type ZrCoSb0.9Sn0.1 via Tellurium doping,Materials Chemistry and Physics,,123915
"Guangyao Ji, Lijie Chang, Hongan Ma, Baomin Liu, Qi Chen, Yao Wang, Xinjian Li, Junnan Wang, Yuewen Zhang, Xiaopeng Jia,",Journal of Alloys and Compounds,850,2021,,Elsevier BV,28799,10.1016/j.jallcom.2020.156623,"G. Ji, L. Chang, H. Ma, B. Liu, Q. Chen, Y. Wang, X. Li, J. Wang, Y. Zhang, X. Jia,",http://dx.doi.org/10.1016/j.jallcom.2020.156623,article-journal,Synthesis and characterization of Al doped non-stoichiometric ratio titanium oxide at high temperature and pressure,Journal of Alloys and Compounds,,156623
"Yihuai Li, Zihua Wu, Jinhao Lin, Yuanyuan Wang, Jianhui Mao, Huaqing Xie, Zhen Li,",Materials Science in Semiconductor Processing,121,2021,,Elsevier BV,28809,10.1016/j.mssp.2020.105393,"Y. Li, Z. Wu, J. Lin, Y. Wang, J. Mao, H. Xie, Z. Li,",http://dx.doi.org/10.1016/j.mssp.2020.105393,article-journal,Enhanced thermoelectric performance of hot-press Bi-doped n-type polycrystalline PbS,Materials Science in Semiconductor Processing,,105393
"Zhenghao Hou, Dongyang Wang, Tao Hong, Yongxin Qin, Shang Peng, Guangtao Wang, Jinfeng Wang, Xiang Gao, Zhiwei Huang, Li-Dong Zhao,",Journal of Physics and Chemistry of Solids,148,2021,,Elsevier BV,28815,10.1016/j.jpcs.2020.109640,"Z. Hou, D. Wang, T. Hong, Y. Qin, S. Peng, G. Wang, J. Wang, X. Gao, Z. Huang, L. Zhao,",http://dx.doi.org/10.1016/j.jpcs.2020.109640,article-journal,Boosting thermoelectric performance of n-type PbS through synergistically integrating In resonant level and Cu dynamic doping,Journal of Physics and Chemistry of Solids,,109640
"Yanqun Chen, Chao Wang, Zheng Ma, Lanwei Li, Shuyao Li, Jianli Wang,",Current Applied Physics,21,2021,25-30,Elsevier BV,28819,10.1016/j.cap.2020.09.019,"Y. Chen, C. Wang, Z. Ma, L. Li, S. Li, J. Wang,",http://dx.doi.org/10.1016/j.cap.2020.09.019,article-journal,Improved thermoelectric performance of n-type Mg3Sb2–Mg3Bi2 alloy with Co element doping,Current Applied Physics,,25
"Ming Liu, Jingjing Zhang, Ke Sun, Yang Yang, Jian Xu, Baofu Hu, Bingguo Liu, Jian Wang, Taichao Su, Baoli Du,",Journal of Solid State Chemistry,293,2021,,Elsevier BV,28824,10.1016/j.jssc.2020.121760,"M. Liu, J. Zhang, K. Sun, Y. Yang, J. Xu, B. Hu, B. Liu, J. Wang, T. Su, B. Du,",http://dx.doi.org/10.1016/j.jssc.2020.121760,article-journal,"Influences of texture, off-stoichiometry, and phases on thermoelectric properties of Sn–Se polycrystals sintered by SPS from millimeter-scale crystal sheets",Journal of Solid State Chemistry,,121760
"A. Ducka, B. Trawiński, B. Bochentyn, A. Dubiel, B. Kusz,",Materials Research Bulletin,133,2021,,Elsevier BV,28826,10.1016/j.materresbull.2020.111042,"A. Ducka, B. Trawiński, B. Bochentyn, A. Dubiel, B. Kusz,",http://dx.doi.org/10.1016/j.materresbull.2020.111042,article-journal,Structure and thermoelectric properties of nickel-doped copper selenide synthesised in a hydrogen atmosphere,Materials Research Bulletin,,111042
"Peyala Dharmaiah, Kap-Ho Lee, Sung Ho Song, Hyoung Seop Kim, Soon-Jik Hong,",Materials Research Bulletin,133,2021,,Elsevier BV,28828,10.1016/j.materresbull.2020.111023,"P. Dharmaiah, K. Lee, S. Song, H. Kim, S. Hong,",http://dx.doi.org/10.1016/j.materresbull.2020.111023,article-journal,Enhanced thermoelectric performance of Bi0.5Sb1.5Te3 composites through potential barrier scattering at heterogeneous interfaces,Materials Research Bulletin,,111023
"Jiangjing Wang, Chongjian Zhou, Yuan Yu, Yuxing Zhou, Lu Lu, Bangzhi Ge, Yudong Cheng, Chun-Lin Jia, Riccardo Mazzarello, Zhongqi Shi, Matthias Wuttig, Wei Zhang,",Nano Energy,79,2021,,Elsevier BV,28829,10.1016/j.nanoen.2020.105484,"J. Wang, C. Zhou, Y. Yu, Y. Zhou, L. Lu, B. Ge, Y. Cheng, C. Jia, R. Mazzarello, Z. Shi, M. Wuttig, W. Zhang,",http://dx.doi.org/10.1016/j.nanoen.2020.105484,article-journal,Enhancing thermoelectric performance of Sb2Te3 through swapped bilayer defects,Nano Energy,,105484
"Muath M. Al Malki, Xun Shi, Pengfei Qiu, G. Jeffrey Snyder, David C. Dunand,",Journal of Materiomics,7,2021,89-97,Elsevier BV,28851,10.1016/j.jmat.2020.07.012,"M. Al Malki, X. Shi, P. Qiu, G. Snyder, D. Dunand,",http://dx.doi.org/10.1016/j.jmat.2020.07.012,article-journal,Creep behavior and post-creep thermoelectric performance of the n-type Skutterudite alloy Yb0.3Co4Sb12,Journal of Materiomics,1,89
"Min Ruan, Fu Li, Yuexing Chen, Zhuanghao Zheng, Ping Fan,",Journal of Alloys and Compounds,849,2020,,Elsevier BV,28907,10.1016/j.jallcom.2020.156677,"M. Ruan, F. Li, Y. Chen, Z. Zheng, P. Fan,",http://dx.doi.org/10.1016/j.jallcom.2020.156677,article-journal,Te-free compound Bi2SeS2 as a promising mid-temperature thermoelectric material,Journal of Alloys and Compounds,,156677
"Youfa Liu, Wenfang Wang, Cheng Liu, Congcong Liu, Jingkun Xu, Zhengyou Zhu, Jiaji Yang, Yeye Wang, Fengxing Jiang,",Journal of Alloys and Compounds,849,2020,,Elsevier BV,28908,10.1016/j.jallcom.2020.156630,"Y. Liu, W. Wang, C. Liu, C. Liu, J. Xu, Z. Zhu, J. Yang, Y. Wang, F. Jiang,",http://dx.doi.org/10.1016/j.jallcom.2020.156630,article-journal,Effects of inorganic salt NaNbO3 composite on the thermoelectric properties of tellurium nanorods thin slice,Journal of Alloys and Compounds,,156630
"Daniel W. Newbrook, Stephen P. Richards, Victoria K. Greenacre, Andrew L. Hector, William Levason, Gillian Reid, C.H. (Kees) de Groot, Ruomeng Huang,",Journal of Alloys and Compounds,848,2020,,Elsevier BV,28910,10.1016/j.jallcom.2020.156523,"D. Newbrook, S. Richards, V. Greenacre, A. Hector, W. Levason, G. Reid, C. de Groot, R. Huang,",http://dx.doi.org/10.1016/j.jallcom.2020.156523,article-journal,Improved thermoelectric performance of Bi2Se3 alloyed Bi2Te3 thin films via low pressure chemical vapour deposition,Journal of Alloys and Compounds,,156523
"Shriparna Mukherjee, Sourav Ghosh, Kamanio Chattopadhyay,",Journal of Alloys and Compounds,848,2020,,Elsevier BV,28911,10.1016/j.jallcom.2020.156540,"S. Mukherjee, S. Ghosh, K. Chattopadhyay,",http://dx.doi.org/10.1016/j.jallcom.2020.156540,article-journal,Ultralow thermal conductivity and high thermoelectric figure of merit in Cu2Te–Ag2Te composites,Journal of Alloys and Compounds,,156540
"Nannan Yang, Changchun Chen, Lin Pan, Yaqing Zhao, Yifeng Wang,",Journal of Alloys and Compounds,847,2020,,Elsevier BV,28912,10.1016/j.jallcom.2020.156410,"N. Yang, C. Chen, L. Pan, Y. Zhao, Y. Wang,",http://dx.doi.org/10.1016/j.jallcom.2020.156410,article-journal,Adjustable effects of zinc substitution for indium on the thermoelectric properties of p-type CuInSe2.02,Journal of Alloys and Compounds,,156410
"Qian Liu, Xiao-Cun Liu, Ke-Feng Liu, Jian Zhang, Sheng-Qing Xia,",Journal of Alloys and Compounds,847,2020,,Elsevier BV,28913,10.1016/j.jallcom.2020.156551,"Q. Liu, X. Liu, K. Liu, J. Zhang, S. Xia,",http://dx.doi.org/10.1016/j.jallcom.2020.156551,article-journal,YbCu0.52(2)Sb: Mixed-valent compound with a layered structure,Journal of Alloys and Compounds,,156551
"Xuan Zhao, Chuanshan Zhao, Yifei Jiang, Xingxiang Ji, Fangong Kong, Tong Lin, Hao Shao, Wenjia Han,",Journal of Power Sources,479,2020,,Elsevier BV,28917,10.1016/j.jpowsour.2020.229044,"X. Zhao, C. Zhao, Y. Jiang, X. Ji, F. Kong, T. Lin, H. Shao, W. Han,",http://dx.doi.org/10.1016/j.jpowsour.2020.229044,article-journal,Flexible cellulose nanofiber/Bi2Te3 composite film for wearable thermoelectric devices,Journal of Power Sources,,229044
"Jing Wang, Muchun Guo, Jianbo Zhu, Dandan Qin, Fengkai Guo, Qian Zhang, Wei Cai, Jiehe Sui,",Journal of Materials Science & Technology,59,2020,189-194,Elsevier BV,28918,10.1016/j.jmst.2020.04.052,"J. Wang, M. Guo, J. Zhu, D. Qin, F. Guo, Q. Zhang, W. Cai, J. Sui,",http://dx.doi.org/10.1016/j.jmst.2020.04.052,article-journal,Enhanced thermoelectric properties of Zintl phase YbMg2Bi1.98 through Bi site substitution with Sb,Journal of Materials Science & Technology,,189
"Hyun Ju, Jooheon Kim,",Chemical Engineering Journal,402,2020,,Elsevier BV,28919,10.1016/j.cej.2020.126274,"H. Ju, J. Kim,",http://dx.doi.org/10.1016/j.cej.2020.126274,article-journal,Anion-exchanged porous SnTe nanosheets for ultra-low thermal conductivity and high-performance thermoelectrics,Chemical Engineering Journal,,126274
"May Likha Lwin, Peyala Dharmaiah, Suk-Min Yoon, Sung Ho Song, Hyoung Seop Kim, Jong-Hyeon Lee, Reza Ghomashchi, Soon-Jik Hong,",Journal of Alloys and Compounds,845,2020,,Elsevier BV,28933,10.1016/j.jallcom.2020.156114,"M. Lwin, P. Dharmaiah, S. Yoon, S. Song, H. Kim, J. Lee, R. Ghomashchi, S. Hong,",http://dx.doi.org/10.1016/j.jallcom.2020.156114,article-journal,Correlation with the composition of the different parts of p-type Bi0.5Sb1.5Te3 sintered bulks and their thermoelectric characteristics,Journal of Alloys and Compounds,,156114
"Dung Van Hoang, Anh Tuan Thanh Pham, Hanh Kieu Thi Ta, Truong Huu Nguyen, Ngoc Kim Pham, Lai Thi Hoa, Vinh Cao Tran, Ohtaki Michitaka, Quang Minh Nhat Tran, Jong-Ho Park, Jae-Ki Lee, Su-Dong Park, Tae-Seong Ju, Hongjun Park, Sungkyun Park, Thang Bach Phan,",Journal of Alloys and Compounds,844,2020,,Elsevier BV,28935,10.1016/j.jallcom.2020.156119,"D. Van Hoang, A. Thanh Pham, H. Thi Ta, T. Nguyen, N. Pham, L. Hoa, V. Tran, O. Michitaka, Q. Nhat Tran, J. Park, J. Lee, S. Park, T. Ju, H. Park, S. Park, T. Phan,",http://dx.doi.org/10.1016/j.jallcom.2020.156119,article-journal,Effects of multi-scale defects on the thermoelectric properties of delafossite CuCr1-xMgxO2 materials,Journal of Alloys and Compounds,,156119
"Rafał Zybała,",Synthetic Metals,270,2020,,Elsevier BV,28938,10.1016/j.synthmet.2020.116606,"R. Zybała,",http://dx.doi.org/10.1016/j.synthmet.2020.116606,article-journal,Preparation and characterization of nanostructured (GeTe)75(AgSbTe2)x(AgSbSe2)y thermoelectric materials,Synthetic Metals,,116606
"Numan Salah, Abdullah M. Abusorrah, Yousef N. Salah, M. Almasoudi, Neazar Baghdadi, Ahmed Alshahri, Kunihito Koumoto,",Ceramics International,46,2020,27244-27253,Elsevier BV,28942,10.1016/j.ceramint.2020.07.209,"N. Salah, A. Abusorrah, Y. Salah, M. Almasoudi, N. Baghdadi, A. Alshahri, K. Koumoto,",http://dx.doi.org/10.1016/j.ceramint.2020.07.209,article-journal,Effective dopants for CuI single nanocrystals as a promising room temperature thermoelectric material,Ceramics International,17,27244
"Mi-Kyung Han, Sujin Kim, Sung-Jin Kim,",Journal of Solid State Chemistry,292,2020,,Elsevier BV,28945,10.1016/j.jssc.2020.121590,"M. Han, S. Kim, S. Kim,",http://dx.doi.org/10.1016/j.jssc.2020.121590,article-journal,Enhancement of thermoelectric properties by partial substitution of Ge sites in anion ring [Ge2S2]4- found in Co2Ge3S3 skutterudite-based material,Journal of Solid State Chemistry,,121590
"Ayako Suzuki, Hiroyuki Kitagawa, Anh Hoang Pham, Shigekazu Morito, Kotaro Kikuchi,",Materialia,14,2020,,Elsevier BV,28946,10.1016/j.mtla.2020.100914,"A. Suzuki, H. Kitagawa, A. Pham, S. Morito, K. Kikuchi,",http://dx.doi.org/10.1016/j.mtla.2020.100914,article-journal,Effect of the crystal alignment and grain size on the thermoelectric properties of Bi0.4Sb1.6Te3 sintered materials,Materialia,,100914
"Abanti Nag, K. Sathiyamoorthy,",Journal of Elec Materi,49,2020,7036-7043,Springer Science and Business Media LLC,28949,10.1007/s11664-020-08516-w,"A. Nag, K. Sathiyamoorthy,",http://dx.doi.org/10.1007/s11664-020-08516-w,article-journal,An Energy Harvesting Perspective of a Perovskite Based Thermoelectric Module: Fabrication and Evaluation,Journal of Electronic Materials,12,7036
"B. Özçelik, G. Çetin, M. Gürsul, M.A. Madre, A. Sotelo,",Materials Chemistry and Physics,256,2020,,Elsevier BV,28953,10.1016/j.matchemphys.2020.123701,"B. Özçelik, G. Çetin, M. Gürsul, M. Madre, A. Sotelo,",http://dx.doi.org/10.1016/j.matchemphys.2020.123701,article-journal,A study on thermoelectric performance and magnetic properties of Ti-doped Bi2Sr2Co1.8Oy ceramic materials,Materials Chemistry and Physics,,123701
